Q1000078	Moravská Třebová
Q194393	SK Slavia Prague
Q1944	Jérémy Toulalan
Q19442	Barnsley F.C.
Q19444	Birmingham City F.C.
Q19446	Blackburn Rovers F.C.
Q19449	Blackpool F.C.
Q19451	Bolton Wanderers F.C.
Q19453	Brighton & Hove Albion F.C.
Q194537	WTA Doubles Championships
Q19456	Bristol City F.C.
Q19458	Burnley F.C.
Q19462	Charlton Athletic F.C.
Q19467	Crystal Palace F.C.
Q19470	Derby County F.C.
Q19473	Huddersfield Town A.F.C.
Q19477	Hull City A.F.C.
Q19481	Leicester City F.C.
Q19482	Wimbledon F.C.
Q19487	Millwall F.C.
Q1948730	Gold Star medal
Q19490	Nottingham Forest F.C.
Q19495	Peterborough United F.C.
Q19498	Sheffield Wednesday F.C.
Q19500	Wolverhampton Wanderers F.C.
Q19509	Stade Rennais F.C.
Q19512	FC Sochaux-Montbéliard
Q19513	Montpellier Hérault Sport Club
Q195130	Clément Grenier
Q19516	Lille OSC
Q19518	Toulouse FC
Q19521	AS Saint-Étienne
Q19523	A.S. Nancy-Lorraine
Q195297	Almir Turković
Q195325	Quincy Antipas
Q195435	Yoshiaki Maruyama
Q19546	pope
Q19558910	National Register of Historic Places listed place
Q19566	Simferopol
Q19568	AFC Bournemouth
Q19571	Brentford F.C.
Q19573	Bury F.C.
Q19575	Carlisle United F.C.
Q1957671	CNRS Gold medal
Q19578	Colchester United F.C.
Q19580	Coventry City F.C.
Q19585	Royal Charleroi S.C.
Q19587	Crewe Alexandra F.C.
Q19589	Doncaster Rovers F.C.
Q19592	Hartlepool United F.C.
Q19593	Celtic F.C.
Q19595	Leyton Orient F.C.
Q19597	Rangers F.C.
Q19598	Notts County F.C.
Q19601	Oldham Athletic A.F.C.
Q19603	FC Twente
Q19604	Portsmouth F.C.
Q196069	Daryl Janmaat
Q19607	Sheffield United F.C.
Q196107	Vancouver Whitecaps FC
Q19612	Preston North End F.C.
Q19615	Scunthorpe United F.C.
Q196219	Henrikh Mkhitaryan
Q19626	Shrewsbury Town F.C.
Q19628	Olympiacos F.C.
Q19634	Swindon Town F.C.
Q19637	Tranmere Rovers F.C.
Q19644	Walsall F.C.
Q19651	Yeovil Town F.C.
Q196678	Torzhok
Q1967719	National Society of Film Critics Award for Best Supporting Actress
Q1967731	National Society of Film Critics Award for Best Actor
Q1967852	National Women's Hall of Fame
Q1969085	Slovakia national under-21 football team
Q1969520	Rio Branco Esporte Clube
Q197218	Zhang Jike
Q1972199	Tampa Bay Rowdies
Q197466	Zhao Xue
Q197503	Andreas Drugge
Q197561	José Jadílson dos Santos Silva
Q197578	Oséas Reis dos Santos
Q197586	Fábio Alves Félix
Q197596	Dženan Radončić
Q198032	Esporte Clube Bahia
Q198034	Atlético Clube Goianiense
Q198059	Guyon Fernandez
Q1980962	"Hammer and Sickle" gold medal
Q198104	Zhu Chen
Q19831	Peter Lilley
Q19858080	American Music Award for Favorite Pop/Rock Album
Q198660	Émile Mbouh
Q19869310	Humanist of the Year
Q19878667	Hayden Memorial Geological Award
Q198975	Počaply
Q19904118	Grande Médaille d'Or des Explorations
Q19912	Radio France Internationale
Q19958744	Sarah Palfrey Danzig Award
Q19971597	Carl-Ritter-Medal
Q199801	Cindy Crawford
Q199896	Karl Malone
Q1999970	Upper Alsace
Q200009	Ineos Grenadiers
Q2001271	Apollon Smyrni F.C.
Q20021270	Minister of Communications
Q200321	SC Heerenveen
Q20036268	Woman International Master
Q200604	Gaëtan Englebert
Q200688	Faroe Islands men's national football team
Q200744	Bondorf
Q20076	Limbach-Oberfrohna
Q200797	Polatsk
Q200868	Marek Jankulovski
Q201006	FC Dinamo Tbilisi
Q20113740	ISS Expedition commander
Q201360	Grasshopper Club Zürich
Q201503	Jan-Derek Sørensen
Q201567	IFK Göteborg
Q201584	AEK F.C.
Q201676	funeral
Q2016992	Germany national under-18 football team
Q201732	Robert Graves
Q2018	Catania FC
Q201837	Matthew Upson
Q201860	Clint Dempsey
Q201878	Mirosław Okoński
Q201879	Dimitris Salpingidis
Q201885	Theofanis Gekas
Q201969	FC Winterthur
Q20198851	Governor of Florida
Q202093	Heart of Midlothian F.C.
Q20211	Peenehagen
Q202172	Walter Matthau
Q202237	Landon Donovan
Q202259	Heinrich Haussler
Q202329	Joey Barton
Q202345	David Durmaz
Q202597	Chen Kaige
Q202660	Collège de France
Q202693	Jo Nesbø
Q202768	Diocese of Saint-Jean-Longueuil
Q202986	Želatovice
Q203258	Kaká
Q203493	Kingdom of Romania
Q203513	FC Zimbru Chișinău
Q203573	Bursaspor
Q203657	Jon Dahl Tomasson
Q203665	Simão Sabrosa
Q2037	AC ChievoVerona
Q203723	Horní Beřkovice
Q203804	Tim Roth
Q203871	Rush
Q2039348	municipality of the Netherlands
Q204054	Christian Vander
Q204059	Mateja Kežman
Q204108	Álvaro Recoba
Q204220	New York Red Bulls
Q204237	FC Dinamo Bucharest
Q204238	England national under-21 association football team
Q204272	Toni Kallio
Q204357	LA Galaxy
Q2044044	PFA Team of the Year
Q204555	Zinho
Q204675	Associação Portuguesa de Desportos
Q204848	Mathieu Flamini
Q204877	Saint-Julien-de-Bourdeilles
Q204881	Malmö FF
Q204888	P.A.O.K. F.C.
Q204895	Júlio Baptista
Q204960	Harry Welfare
Q204978	Antonín Panenka
Q2052	ACF Fiorentina
Q205341	Ulrich Vinzents
Q205499	Fernando Hierro
Q205685	SK Brann
Q205732	Debreceni VSC
Q205765	Dubrovytsia
Q205929	Ilmenau
Q205998	CFR Cluj
Q20602711	President of the Society for Classical Studies
Q206247	Quim
Q206343	SK Sturm Graz
Q20639848	club cycling team
Q206421	Konstantinos Stephanopoulos
Q206455	Craig Mello
Q206493	Sèvres
Q20653564	UCI Trade Team II
Q20653566	UCI Trade Team III
Q206585	Hapoel Tel Aviv F.C.
Q206692	FC Zürich
Q206838	FC Viktoria Plzeň
Q207120	Zlatan Bajramović
Q207222	Zlaté Hory
Q20723338	Grand prix des sciences mathématiques
Q207261	Zlonice
Q2073145	Belarus national under-21 football team
Q207337	Morocco men's national football team
Q207373	Club Social y Deportivo Colo Colo
Q2074	Genoa CFC
Q207431	Louis van Gaal
Q207441	Senegal men's national association football team
Q207462	FC Metalist Kharkiv
Q207501	FK Vojvodina
Q207503	Helsingborgs IF
Q207655	Kjell Magne Bondevik
Q207826	Time Person of the Year
Q208110	Banská Štiavnica
Q208167	Hero of Socialist Labour
Q208228	Stade de Reims
Q208259	
Q208308	Kamchatka Oblast
Q208396	Ferencvárosi TC
Q208399	SC Bastia
Q208406	MTK Budapest FC
Q2084417	FC Stal Alchevsk
Q208552	Molde FK
Q208574	FK Rabotnički
Q208584	Helsingin Jalkapalloklubi
Q208585	Vitória F.C.
Q208635	Canadian men's national soccer team
Q208700	Aiden McGeady
Q208738	Camaligan
Q208769	Gainza
Q208804	Bodo Schmidt
Q208889	Saint-Ouen-sur-Seine
Q2090893	Locus Award for Best First Novel
Q209244	Hvězdoňovice
Q209283	Bengt Edlén
Q209430	Hartvíkovice
Q209459	Golden Lion
Q209509	Grenoble Foot 38
Q209619	OFK Beograd
Q209640	MŠK Žilina
Q209641	John le Carré
Q209895	Sparta Rotterdam
Q209896	honorary degree
Q209991	Langourla
Q210013	Carlos Alberto Santos
Q210025	FC Nordsjælland
Q210095	Yoichiro Kakitani
Q210102	Jairzinho
Q210109	Champdor
Q210114	Jean Carlo Witte
Q210138	Alcindo Sartori
Q210170	K.F. Tirana
Q210225	Sandro Cardoso dos Santos
Q210238	Márcio Richardes
Q210286	Takafumi Akahoshi
Q210530	NK Maribor
Q210768	F.C. Sheriff
Q2108431	Preis der SWR-Bestenliste
Q210848	Kaj Ramsteijn
Q210864	Le Mans F.C.
Q210961	Kilmarnock F.C.
Q21101	Kolding Municipality
Q2110156	Primetime Emmy Award for Outstanding Comedy Series
Q211077	Valeri Smolkov
Q211124	Kostas Katsouranis
Q211169	Andrei Sergeyevich Nikolayev
Q211177	Viking FK
Q2112	Bielefeld
Q211284	Chong Yong-de
Q211401	U.D. Leiria
Q211477	FC Dinamo Minsk
Q21166	Skövde
Q211733	Mali men's national football team
Q211753	IF Elfsborg
Q2119	Mannheim
Q211906	Brøndby IF
Q211912	Odense Boldklub
Q212	Ukraine
Q212166	Peru men's national football team
Q21221	Birkenwald
Q212269	Valenciennes F.C.
Q212429	Metropolitan France
Q212439	Cossack Hetmanate
Q212490	Tromsø IL
Q212564	Colombia men's national football team
Q212617	Ron Vlaar
Q212748	Parang
Q212819	Vålerenga Fotball
Q2129100	Maccabi Haifa F.C.
Q21292820	Order of Suvorov, 1st class
Q213	Czech Republic
Q213002	Samir Handanović
Q213079	Lee Jung-soo
Q213195	B. F. Skinner
Q213420	Tabontabon
Q213427	Aaron Ramsey
Q213437	Óscar Cardozo
Q21349	Wingersheim
Q214124	Kim Källström
Q214250	Saint-Aubin-Château-Neuf
Q214362	Saint-Romain-le-Preux
Q214374	Lillestrøm SK
Q214498	David Seaman
Q2146550	Reuchlin Award
Q214713	Alexei Shirov
Q214851	Charles Richet
Q214940	Estudiantes de La Plata
Q214978	Club Atlético Independiente
Q215040	Maxwell
Q2150573	Unterelsaß
Q215163	Club Atlético Vélez Sarsfield
Q215201	Hildegard Hamm-Brücher
Q215215	John Mayer
Q215302	Odds BK
Q21531768	Holley Medal
Q21541633	Gramophone Award for Lifetime Achievement
Q215431	Antolín Alcaraz
Q215438	Bernard Parker
Q215574	Mario Capecchi
Q215770	Johan Djourou
Q215831	Fabricio Coloccini
Q215841	Joleon Lescott
Q215976	Patricia Arquette
Q216032	K.R.C. Genk
Q216131	Fredrikstad FK
Q216195	Tom Wolfe
Q216312	José Luis Chilavert
Q216318	Oliver Smithies
Q216459	C.D. Nacional
Q216503	C.S. Marítimo
Q216510	C.F. Os Belenenses
Q216523	Motherwell F.C.
Q216557	Mohamed Sissoko
Q21659514	Leo Szilard Lectureship Award
Q216614	Alan Smith
Q216661	C.D. Tenerife
Q216773	FC Vaduz
Q216816	Míchel Salgado
Q216910	Fábio Aurélio
Q217038	Māris Verpakovskis
Q217070	Laurent Fabius
Q2171187	Royal Victorian Chain
Q217198	Sergey Karjakin
Q217233	Stabæk Fotball
Q217507	Vladimír Weiss
Q217557	Joyce Carol Oates
Q2175909	Romania national under-21 football team
Q217706	Léon Bourgeois
Q217873	Vinícius Silva Soares
Q218	Romania
Q218022	Alain Resnais
Q218074	Neftchi Baku PFC
Q218090	Dedimar Souza Lima
Q218098	André Cruz
Q218114	Fabrício de Souza
Q218165	Pauleta
Q21821393	National Award for Television
Q218282	San Lorenzo de Almagro
Q218334	Figueirense Futebol Clube
Q218372	Stade Brestois 29
Q2184	Russian Soviet Federative Socialist Republic
Q2184917	FK Teleoptik
Q218508	Krahulov
Q218530	Jinošov
Q218535	Kralice nad Oslavou
Q21869758	delegated commune
Q218724	FK Javor Ivanjica
Q218883	Urawa Red Diamonds
Q218934	Zoltán Harsányi
Q218965	Zoltán Kovács
Q219	Bulgaria
Q219000	Zoltán Medvegy
Q219020	Oumar N'Diaye
Q219041	Zoltán Szélesi
Q219074	Zoltán Varga
Q219098	Sport Club do Recife
Q219120	Associação Atlética Ponte Preta
Q219233	SBV Vitesse
Q219235	Servette FC
Q219241	Falkirk F.C.
Q219264	FK Budućnost Podgorica
Q219271	Light and Colour (Goethe's Theory) – The Morning after the Deluge – Moses Writing the Book of Genesis
Q219354	Ian Rush
Q219420	Edward Albee
Q219490	Mario Frustalupi
Q219703	Boavista F.C.
Q219734	Andrei Tupolev
Q219771	Ludovic Giuly
Q219854	Philippines men's national association football team
Q219902	Cristiano Lupatelli
Q219926	Aris Thessaloniki F.C.
Q219929	F.K. Željezničar Sarajevo
Q220	Rome
Q220487	Zoran Baldovaliev
Q220510	Zoran Janković
Q220621	Argentinos Juniors
Q220684	Vire
Q220700	Omar Sívori
Q220863	SC Oțelul Galați
Q2211	Malmö
Q221349	Harry Redknapp
Q221525	FC Metz
Q221570	Michael Krohn-Dehli
Q221602	AIK Fotboll
Q221614	Bogdan Lobonț
Q221671	FC Slovan Liberec
Q221695	Grêmio FBPA
Q221702	KR Reykjavík
Q221752	F91 Dudelange
Q2217852	Samuel-Bogumil-Linde prize
Q221789	Anis Boussaïdi
Q221798	Cicinho
Q221824	Josip Skoko
Q221882	Newell's Old Boys
Q221927	De Graafschap
Q221940	K.S.C. Lokeren Oost-Vlaanderen
Q221968	Gennevilliers
Q221997	Jeb Bush
Q222047	NBA Most Valuable Player Award
Q222209	Bystrovany
Q222211	Jan Vennegoor of Hesselink
Q222242	Kisköre
Q222719	Libětice
Q222837	AC Arles
Q222861	FC Flora Tallinn
Q222877	FC Inter Turku
Q223262	FC Luzern
Q223360	FC Karpaty Lviv
Q223450	Vitória S.C.
Q2235	Veliky Novgorod
Q223566	Al Ahly SC
Q223620	Deportivo Alavés
Q223727	Beitar Jerusalem F.C.
Q223728	Maccabi Tel Aviv F.C.
Q223813	TPS Turku
Q223823	Skonto FC
Q223936	Kingdom of Italy
Q223985	Michael Palin
Q224388	Coulvain
Q224409	Coulonces
Q225085	César Award for Best Cinematography
Q2255212	Sweden national under-19 football team
Q2255267	Sweden national under-21 football team
Q225566	Ante Jazić
Q226109	Louis-Edmond Hamelin
Q2266580	Italy national under-19 football team
Q2267946	BBC Sports Personality of the Year Award
Q22686	Donald Trump
Q227025	Zoubeir Baya
Q227053	Zoumana Camara
Q22707	TSG 1899 Hoffenheim
Q2272209	Serbia national under-21 football team
Q227359	Zsolt Muzsnay
Q2277185	Israel national under-21 football team
Q2280	Minsk
Q228561	Charny
Q2285862	Zilveren Griffel
Q228599	Zuheros
Q228616	Marta
Q228717	Rose Byrne
Q22876	Altlußheim
Q228789	Lena Headey
Q2291116	FC Wacker Innsbruck
Q2291862	FIFA Ballon d'Or
Q22923081	king of Franks
Q229232	Gloria Swanson
Q2294693	Independent Spirit Award for Best Supporting Male
Q2295041	Independent Spirit Award for Best Director
Q22965	Neulußheim
Q229828	Mikhail Ivanovich Kalinin
Q229957	Mary-Louise Parker
Q2299795	FC Volgar Astrakhan
Q230492	University of Michigan
Q23055166	Sir Hans Krebs Medal
Q2306719	Russia national under-21 football team
Q2308235	Brazil national under-20 football team
Q23091	César Award for Best Music Written for a Film
Q2310295	Spain national under-17 football team
Q2312558	Racing White Daring Molenbeek
Q231259	Billy Ray Cyrus
Q231340	Zvezdan Čebinac
Q231391	Bernadette Peters
Q231420	Zvole
Q231493	Zvonko Pamić
Q231497	Zvonko Stanojoski
Q232	Kazakhstan
Q232295	John Kendrew
Q232308	Selman Abraham Waksman
Q232384	Carice van Houten
Q232737	The Walking Dead
Q232789	Simone Perrotta
Q2328046	Stadtschreiber von Bergen
Q232876	Diana Rigg
Q2328993	AVN Female Performer of the Year Award
Q2329480	Stalin Prize
Q233026	Arne Tiselius
Q233112	Abby Wambach
Q2331232	Italy national under-17 football team
Q2331381	Croatia national under-21 football team
Q2332493	Botafogo Futebol Clube
Q233259	Lisa Ann
Q2334076	Prime Minister of Norway
Q233565	Denis Law
Q233973	John Pople
Q233976	Frederick Hopkins
Q233985	Luis Federico Leloir
Q23402	Musée d'Orsay
Q234182	Harriet Harman
Q234463	Sydney Brenner
Q234679	Charlotte Rampling
Q2346842	FC Barcelona C
Q234700	Connie Willis
Q234735	Meudon
Q2347975	Governor of New York
Q2348	neutron
Q234819	Alice Munro
Q23482	Marseille
Q234897	Michèle Morgan
Q234928	Alice Bradley Sheldon
Q235132	Emilia Clarke
Q235399	Jamaica men's national association football team
Q235411	Guinea men's national football team
Q235511	Taraji P. Henson
Q2356290	Spain national under-20 football team
Q2357620	Satellite Award for Best Original Score
Q235807	Gia Grigalava
Q2358861	England national under-19 association football team
Q23628	The Sopranos
Q2369287	blessed
Q23712	Bien de Interés Cultural
Q237416	Dubravka Ugrešić
Q237454	Marta Kauffman
Q237494	René Higuita
Q237964	Predrag Mijatović
Q238036	Margaret Sullavan
Q23830553	Spain B national football team
Q238593	D.C. United
Q238716	Georg von Békésy
Q238739	George Beadle
Q2387559	FC Tirol Innsbruck
Q238968	Christophe Landrin
Q23899619	Honorary craftsman
Q2390270	Treasurer of Australia
Q239104	Benjamin Baltes
Q239105	Graça Machel
Q23925713	Turkey national under-18 football team
Q23925716	Turkey national under-16 football team
Q23931012	king of Aquitaine
Q239522	Annie M.G. Schmidt
Q239535	Benin men's national football team
Q239549	Thailand men's national football team
Q23958341	President of the Jury at the Cannes Festival
Q239597	Neratovice
Q239663	F.K. Sarajevo
Q2402747	Brazil national under-17 football team
Q240438	FC Alania Vladikavkaz
Q240444	FC Akhmat Grozny
Q240563	ASA 2013 Târgu Mureș
Q240783	AC Omonia
Q240816	Paulius Grybauskas
Q2408776	CWA New Blood Dagger
Q240986	Veltrusy
Q24137	César Award for Best Director
Q2414252	Screen Actors Guild Award for Outstanding Performance by a Male Actor in a Drama Series
Q2414604	Vis Pesaro dal 1898
Q241475	Lida
Q2414873	Screen Actors Guild Award for Outstanding Performance by a Female Actor in a Drama Series
Q241932	Jiří Štajner
Q2419887	Mogi Mirim Esporte Clube
Q242	Belize
Q242119	Hong Kong men's national football team
Q2422417	Toulouse FC
Q242260	Persepolis F.C.
Q2423	Yaroslavl
Q24241	César Award for Best Actress
Q2424158	Knight Grand Cross of the Military Order of William
Q242490	Feng Tianwei
Q242496	Ding Ning
Q242654	Paul Keating
Q243235	Associação Académica de Coimbra – O.A.F.
Q243536	Howard Temin
Q243610	Ukrainian People's Republic
Q243771	Antonio Machado
Q2442864	Uruguay national under-20 football team
Q244295	Saint-Martin-au-Laërt
Q244317	FC Pyunik
Q244398	Stardust
Q244595	Újpest FC
Q2446294	Norway national under-21 association football team
Q244674	Benedict Cumberbatch
Q244763	Vazeilles-près-Saugues
Q244981	RTS Widzew Łódź
Q245153	Niger men's national football team
Q245162	FC Rapid București
Q245295	Ebi Smolarek
Q245676	Alyaksandr Oreshnikow
Q245733	Radkovice u Hrotovic
Q2459398	Toucan Prize
Q245960	Cypriot Super Cup
Q2462064	Screen Actors Guild Award for Outstanding Performance by a Female Actor in a Miniseries or Television Movie
Q246209	Radotice
Q2462207	Argentina national under-23 football team
Q246225	Trnava
Q246268	Radošov
Q246633	Slavíkovice
Q246775	Přeckov
Q24680	FC Utrecht
Q246840	Zálesní Lhota
Q246859	Zálezly
Q246885	Záluží
Q24689	VVV-Venlo
Q246893	Zálší
Q246911	Zámrsk
Q24699	RKC Waalwijk
Q24711	FC Groningen
Q247114	Záříčí
Q24719	Roda JC Kerkrade
Q247551	Jean-Paul Vonderburg
Q247730	Abdul Razak
Q247780	Kornel Saláta
Q247956	Team Picnic PostNL
Q248018	Isaccea
Q248021	Menzies Campbell
Q248062	
Q248082	Šimanov
Q248188	Milton Keynes Dons F.C.
Q2484309	Home Secretary
Q248741	Aki Riihilahti
Q248782	Barcelona S.C.
Q24904	ADO Den Haag
Q249447	Àlex Crivillé
Q249612	Club Sport Emelec
Q249643	Liga Deportiva Universitaria de Quito
Q249662	Nagoya Grampus
Q250093	Marco Delvecchio
Q250136	Yves Bonnefoy
Q250193	Attila Filkor
Q250489	Ákos Kovrig
Q250494	Ákos Buzsáky
Q250609	Hans Küppers
Q250859	Álvaro Cervera
Q250867	Catholic priest
Q250901	Álvaro Arbeloa
Q250926	Saint-Nicolas-des-Laitiers
Q251040	Álvaro Luiz Maior de Aquino
Q251070	Georg Ertl
Q251095	Caroline Flint
Q251108	Taillebois
Q251327	Benjamin Weigelt
Q251420	Dolní Čermná
Q251515	Ángel Berni
Q25160174	Prime Minister of the Kingdom of Italy
Q251683	Ángel Di María
Q2521339	Wateler Peace Prize
Q25223	president of Germany
Q252312	Norra begravningsplatsen
Q252348	József Duró
Q252596	Martín Montoya
Q252695	Ânderson Miguel da Silva
Q25279	Curaçao
Q25287	Gothenburg
Q253019	Ortsteil
Q2530270	Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Drama Series
Q2533263	Iceland national under-21 football team
Q253441	Graham Weir
Q253447	Joël Tshibamba
Q253576	Dániel Tőzsér
Q253672	Garganta la Olla
Q253881	Oberschleißheim
Q2539734	C.D. FAS
Q25430	Badenweiler
Q2544859	Independent Spirit Award for Best Male Lead
Q254521	Jeison Murillo
Q2545449	Person of Cultural Merit
Q25475	Batumi
Q254995	Li Xiaoxia
Q255024	Gilberto Galdino dos Santos
Q255032	Hugo Award for Best Novel
Q2551	Johannes Rau
Q255296	Vasas SC
Q255380	Renan Marques
Q255771	Equatorial Guinea men's national association football team
Q25613	Ruslan Lyubarskyi
Q256375	Töging am Inn
Q25643	Mouritala Ogunbiyi
Q256740	Camponaraya
Q256789	Karin Fossum
Q25702	Hans Mulder
Q257160	Burgheim
Q257235	MTV Movie Award for Best Kiss
Q2576795	Locus Award for Best Science Fiction Novel
Q257984	Gimnàstic de Tarragona
Q258029	Tim Danneberg
Q258208	Neubiberg
Q258251	Edmund Conen
Q25844	Jezdovice
Q25845	Hybrálec
Q258512	Vladimír Weiss
Q258738	Bob Ainsworth
Q258787	Viechtach
Q258870	Mitterfels
Q258909	Varga Katalin Secondary School
Q258978	Hinterschmiding
Q259446	Katy Jurado
Q259601	Graham Allen
Q25973	Hermann Hesse
Q2599	Paul McCartney
Q2600026	Yellow Kid Award
Q260130	Tegernsee
Q2603334	Zee Cine Award for Best Music Director
Q2604800	Primetime Emmy Award for Outstanding Guest Actor in a Drama Series
Q260559	Örebro SK
Q26069	Klaas-Jan Huntelaar
Q2609	SS Lazio
Q261314	Rachel Portman
Q261440	Mallersdorf-Pfaffenberg
Q2614598	FK Mačva Šabac
Q261735	Åke Lindman
Q261813	FC Wacker Innsbruck
Q261822	Abenberg
Q262	Algeria
Q262166	municipality in Germany
Q262177	Colin Pascoe
Q262200	Újezd u Tišnova
Q262291	Providence Park
Q26243819	minister of Interior of the Kingdom of Italy
Q262485	Mühlenbach
Q26248695	minister of Foreign Affairs of the Kingdom of Italy
Q26250	The Fif
Q262569	Polonia Warsaw
Q262607	Geraldo Francisco dos Santos
Q26270762	doctor honoris causa from the Pierre and Marie Curie University
Q262742	Hilary Benn
Q26276	Klemen Lavrič
Q26298	Agricultural Bank of China
Q2630	Ivanovo
Q263017	Sara Stridsberg
Q2630537	Latvia national under-21 football team
Q263147	John Bercow
Q26321	Elizabeth Blackburn
Q263320	SV Mattersburg
Q263508	Clive Betts
Q2636053	Leader of the House of Commons
Q2637278	Albany Medical Center Prize
Q2637337	Spain national under-23 football team
Q263848	Giammario Piscitella
Q2640154	Georg Büchner Prize
Q264023	Hazel Blears
Q2641	SSC Napoli
Q264106	Murat Gürbüzerol
Q264247	Fumiko Enchi
Q26437	Ardón
Q264385	Altfraunhofen
Q264393	Dave Cowens
Q26442	Los Barrios de Luna
Q26447	La Antigua
Q26460	Boban Babunski
Q26461	Pegnitz
Q264768	Vysoký Újezd
Q264926	Michael Andersson
Q264932	Alexandros Tzorvas
Q26512	GW Shimano-Sidermec
Q26515	Östersund
Q26517	Luis Suárez
Q26518	Södertälje
Q265238	András Törőcsik
Q265444	John Deehan
Q265570	SSV Jahn Regensburg
Q265697	Raimundo Orsi
Q265778	Adam Hammill
Q265915	Suchdol
Q265920	Peace Prize of the German Publishers' and Booksellers' Association
Q265935	Nick Brown
Q266012	Nebula Award for Best Novel
Q266204	Kirchdorf
Q266250	Gechingen
Q2662692	FK Železnik
Q266359	Nikolay Rukavishnikov
Q26637	Bercianos del Real Camino
Q2663714	BAFTA Award for Best British Film
Q2665283	Knight Grand Officer of the Order of William
Q266726	Dürrlauingen
Q266785	Künzing
Q266796	Per Ciljan Skjelbred
Q266947	Pat Cadigan
Q266962	Wiener Sport-Club
Q2670674	Poland national under-19 football team
Q267245	Portugal men's national football team
Q2674	Palermo F.C.
Q267574	Aalborg Boldspilklub
Q26770	Bouzillé
Q267796	Natalia Makarova
Q2678	Gomel
Q267842	Clarke Medal
Q267972	Antigua and Barbuda men's national football team
Q268208	Australia men's national soccer team
Q268239	Ștefan Grigorie
Q268412	Ignacio Zoco
Q269007	Marc Pfertzel
Q269151	PEC Zwolle
Q269275	Jan Tomaszewski
Q269291	Tua Forsström
Q2693	Parma Calcio 1913
Q269579	Münchsmünster
Q269609	Wang Chen
Q269697	Liam Byrne
Q269909	Andy Burnham
Q270051	A.C. Ajaccio
Q270080	DR Congo men's national football team
Q2701714	France national under-19 association football team
Q270204	Nalo Hopkinson
Q270311	Santiago Cañizares
Q27037814	President of the Board of Trade
Q270420	PFC Litex Lovech
Q270555	Linda Villumsen
Q2705645	Tromsdalen UIL
Q270626	Emanuel Perrone
Q270669	Melissa Etheridge
Q270760	Aya Sameshima
Q270811	Åby
Q270890	Claudio Caniggia
Q2709	Sasha Grey
Q270995	Clube Atlético Mineiro
Q2710	Delfino Pescara 1936
Q271002	Ålem
Q271240	Åsarna
Q2713491	Spain national under-19 football team
Q2714	Watford F.C.
Q271574	Real Oviedo
Q27169	Member of the European Parliament
Q27170	Glass Key award
Q271825	Dorrit Willumsen
Q272526	Peter Tapsell
Q27256204	Centenary Prize
Q272644	Ruth Kelly
Q272712	Çaykur Rizespor
Q272739	Çağrı Yarkın
Q27306	Kingdom of Prussia
Q273133	Osny
Q273201	Herbert Spencer Gasser
Q273238	George Whipple
Q273256	Hakeem Olajuwon
Q273279	Roald Hoffmann
Q273562	Belvès
Q273579	École nationale d'administration
Q2736263	Poland national under-17 football team
Q273766	Éder Aleixo
Q273776	Éder
Q273881	Kristin Bengtsson
Q2739	AS Roma
Q273915	Lumbatan
Q274031	Picong
Q274077	Tagoloan
Q2741536	Leader of the Opposition
Q274186	Kapatagan
Q274276	Édouard Courtial
Q274406	Tagoloan
Q274465	E.C. Vitória
Q274642	FC Amkar Perm
Q274778	FC Krylia Sovetov Samara
Q274803	Élson
Q274948	Prime Minister of Japan
Q27508	Lucas Daniel Wilchez
Q275138	FC Haka
Q27523	Mehdi Mostefa
Q275263	Subbaraman Vijayalakshmi
Q2752922	England national under-17 association football team
Q275303	Iweta Rajlich
Q275356	Corcelles
Q275405	Jeffrén Suárez
Q2756	Siena FC
Q275612	Budapest Honvéd FC
Q275626	Athlitiki Enosi Larissa F.C.
Q275710	Steve Sidwell
Q27575234	Royal Philharmonic Society Gold Medal
Q275823	Michael Thomas
Q275939	Xuxa
Q276159	John Scales
Q276306	Andrew Johnson
Q276346	Győri ETO FC
Q276424	Ivo Iličević
Q276428	Ralf Fährmann
Q276533	Racing Club
Q276538	Eurocorps
Q276680	Gennadi Remezov
Q276792	Seebach
Q2768	Torino FC
Q276818	Jacob Aagaard
Q27694	Emre Can
Q27699	Carlos Aranda
Q2773	Brunswick
Q27768	Felipe Saad
Q277751	Academy Award for Best Production Design
Q277772	Pelé
Q277787	Jerusalem Prize
Q277861	Podolia Governorate
Q27787	Johan Cavalli
Q27794	Wahbi Khazri
Q27795	Magno Novaes
Q278065	Sedat Bayrak
Q27808	Jérémy Choplin
Q27836	Frédéric Sammaritano
Q278412	Kluzov
Q278734	Rade Prica
Q278777	Peter Svidler
Q278778	Buber-Rosenzweig-Medal
Q278796	Jarosław Fojut
Q27886	Landry Bonnefoi
Q279043	Albania national under-21 football team
Q2793926	Herman Gorterprijs
Q279561	Roccasicura
Q279568	Lepsy
Q279623	Malá Veleň
Q279629	Pocking
Q27971	Tunisia men's national football team
Q2798	Udinese Calcio
Q28003	Copley Medal
Q28007416	Theatre World Special Award
Q280124	Platanisteia
Q280130	László Sepsi
Q28014	Bucay
Q28030	Bucloc
Q280564	Nazif Hajdarović
Q280679	PAS Giannina F.C.
Q2807	Madrid
Q280767	Stéphane Demol
Q2808	
Q280814	Olympiakos Nicosia FC
Q28089	Egypt men's national football team
Q281612	Horacio Neumann
Q2819143	A.E.K.
